"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
7857,621566,"Olson, Matt",7857,100,0.264,0.253,0.3,0.517,0.373,0.371,0.259,412,1561,92.9,15.7,2251,89.7,90.02,996,3723,4133,0.29999999999999716,6.47,116,146,129,152,303,329,304,"-93.97","93.97","72.5","7.3",1803,1140,221,87,4,100,433,24,215,11.9,2.26811,0.61064,0.34928,-0.15971,"92.9",178,52.3306948109059,14.951627088830255,9.428729894620078,5.82,-0.89,-0.13,2.44,0.356,170,"1.196003564",0.353,0.51,"-1.196003564",0.005,0.0030000000000000027,0.007,0.002,26.8,"37.8",7.648100429639516,0.5651760719641117,34.260728345458254,0.44280985656491356,37.36533713588277,32.64228890573975
7680,656941,"Schwarber, Kyle",7680,100,0.229,0.268,0.26,0.497,0.367,0.384,0.247,344,1504,93.2,17.3,2241,88.9,89.03,949,2995,4684,0.09999999999999432,6.41,118,146,125,151,297,327,298,"-82.596","82.596","74.5","7.6",1818,995,173,54,2,115,520,28.6,284,15.6,2.36768,0.56977,0.3322,-0.12969,"94.1",165,53.66834170854271,16.482412060301506,9.02090209020902,5.84,-0.47,-0.22,2.22,0.356,164,"1.07546875",0.371,0.525,"-1.07546875",-0.018,-0.015000000000000013,-0.028,-0.017,31.7,"37.8",13.246298438983098,-3.9293005428573293,29.5453036556535,0.643847874720358,35.98650447868354,31.19501131166412
7661,665742,"Soto, Juan",7661,100,0.278,0.26,0.291,0.538,0.404,0.441,0.305,411,1479,93.3,8.5,2243,89,89.17,583,2759,4902,0.20000000000000284,6.45,116,146,123,151,296,328,304,"-156.845","156.845","72.2","7.1",1818,1172,229,78,5,99,322,17.7,317,17.4,2.39867,0.52721,0.36638,-0.21321,"94.1",160,56.37296834901625,16.852010265183917,10.836083608360836,5.73,-0.71,-0.12,2.16,0.405,197,"2.047317583",0.429,0.606,"-2.047317583",-0.027,-0.023999999999999966,-0.068,-0.037,21.1,"37.5",10.530685226653192,5.04530226553881,27.247024168173873,0.5967354776764282,39.32256368682862,23.62838016088913
7228,664023,"Happ, Ian",7228,100,0.241,0.181,0.292,0.422,0.336,0.347,0.25,360,1493,89.9,14.6,2211,89.4,89.67,845,3239,3988,0.29999999999999716,6.42,115,147,119,149,294,322,299,"-20.974","20.974","70.4","6.9",1743,1093,212,84,6,58,411,23.6,226,13,2.24651,0.64767,0.43792,-0.43729,"91.9",161,41.8348623853211,10,6.253585771658061,5.79,-0.86,-0.07,2.35,0.344,109,"0.290177089",0.353,0.434,"-0.290177089",-0.009,-0.009000000000000008,-0.012,-0.011,26.1,"37.8",8.997584582197922,-2.230163263446711,32.18176833741195,0.4395194697597349,37.6827737665102,32.14638683744115
7166,596019,"Lindor, Francisco",7166,100,0.264,0.216,0.284,0.48,0.352,0.359,0.268,421,1596,90.8,17.2,2234,89.3,89.52,786,3472,3694,0.20000000000000284,6.46,115,147,117,150,296,324,300,"-55.537","55.537","69.9","7.5",1797,1274,245,90,3,83,338,18.8,151,8.4,2.30387,0.61126,0.37984,-0.38084,"92.4",168,45.354330708661415,11.25984251968504,7.957707289927657,5.78,-0.86,-0.08,2.32,0.337,143,"0.775006977",0.343,0.487,"-0.775006977",-0.004,-0.006000000000000005,-0.007,-0.007,22.6,"38.6",11.030573565528849,-0.7486314904650849,33.587267401705105,0.5298711440843421,35.17501105109175,29.09375186181444
7151,668227,"Arozarena, Randy",7151,100,0.239,0.178,0.298,0.417,0.338,0.343,0.236,346,1445,91.1,12.4,2284,89.4,89.5,895,3023,4128,0.09999999999999432,6.43,108,151,120,147,302,326,293,"-50.45","50.45","70.3","7.3",1707,1021,211,72,4,59,436,25.5,194,11.4,2.29246,0.61233,0.3245,0.11537,"92.6",154,47.399411187438666,10.69676153091266,6.38547158758055,5.73,-0.92,0.25,2.23,0.349,109,"0.705495735",0.349,0.42,"-0.705495735",0.003,0,-0.003,-0.005,29.6,"38.6",9.186146499068315,0.3654703120995538,25.153547285698224,0.6503067484662577,35.425755033000534,31.34037951294259
7089,607043,"Nimmo, Brandon",7089,100,0.252,0.189,0.292,0.441,0.34,0.343,0.256,379,1505,91.8,11.8,2252,89.7,89.93,704,3156,3933,0.20000000000000284,6.46,117,147,111,151,291,323,303,"-38.337","38.337","70.9","7.2",1719,1140,233,72,9,65,375,21.8,177,10.3,2.2425,0.64621,0.39438,-0.15494,"92.3",163,48.5513608428446,9.482001755926252,6.282722513089005,5.77,-0.72,-0.06,2.41,0.339,108,"0.540795599",0.345,0.439,"-0.540795599",-0.004,-0.00599999999999995,0.002,-0.003,22.3,"38.2",5.485819915335586,2.2213211918560183,28.950583500305353,0.45861774744027306,39.13124782950908,26.42775785631406
7076,663993,"Lowe, Nathaniel",7076,100,0.255,0.15,0.318,0.405,0.33,0.328,0.253,375,1471,89.5,8,2264,90.1,90.2,665,3097,3978,0.10000000000000853,6.4,115,147,126,150,296,327,305,"-19.972","19.972","71.6","7.2",1684,1080,254,68,6,47,400,23.8,194,11.5,2.20792,0.65232,0.38929,-0.15643,"91.8",163,41.03992571959146,6.406685236768802,4.097387173396674,5.76,-0.78,-0.02,2.46,0.344,69,"0.282249859",0.344,0.392,"-0.282249859",0.002,0,0.013,0.002,21.5,"37.7",6.127850735442472,9.498885655802548,30.305391836209658,0.45415411106328024,38.321293650257005,27.059491785242404
7073,624413,"Alonso, Pete",7073,100,0.241,0.252,0.262,0.493,0.353,0.369,0.256,370,1535,90.7,16.1,2266,89.5,89.66,796,3105,3968,0.20000000000000284,6.46,107,151,123,146,304,327,297,"-53.981","53.981","73.9","7.2",1757,1129,188,78,3,101,418,23.8,164,9.3,2.31736,0.59267,0.35558,0.07597,"93.1",163,46.01063829787234,15.514184397163119,9.9601593625498,5.77,-0.76,0.11,2.3,0.33,175,"0.763198077",0.344,0.52,"-0.763198077",-0.015,-0.013999999999999957,-0.027,-0.016,25.6,"38.4",10.277766108954292,-1.7811461326486149,32.08993848768001,0.544732441471572,37.893524382720834,29.849662729826232
7060,641857,"McMahon, Ryan",7060,100,0.234,0.171,0.315,0.405,0.316,0.33,0.24,339,1448,91.3,10.9,2262,89.6,90.1,1061,3301,3758,0.5,6.41,116,147,122,151,298,330,307,"0.667","-0.667","70.9","7.2",1637,953,207,72,4,56,503,30.7,174,10.6,2.2693,0.592,0.32521,-0.16936,"92.0",164,47.52370916754479,11.380400421496311,6.597434331093463,5.76,-0.79,-0.13,2.36,0.317,108,"-0.009447592",0.323,0.432,"0.009447592",-0.006,-0.006000000000000005,-0.027,-0.014,32.1,"38.3",8.753769676317493,4.643697708930282,38.27018771769852,0.39689034369885434,40.113830258005656,22.970051332837457
